0,3.6,14.4,25.2,36,46.8,57.6,68.4,79.2,90,100.8,111.6,122.4,133.2,144,154.8,165.6,176.4,187.2
90,54.954,51.76,50.381,59.946,59.456,62.942,54.452,57.688,61.532,55.108,60.692,62.905,68.658,61.311,65.985,65.487,75.917,73.767
100.81,51.714,51.484,61.287,63.308,53.422,54.088,53.782,60.793,61.684,58.51,59.684,60.14,63.273,62.791,64.46,74.464,69.015,67.09
111.61,54.47,51.771,60.95,52.121,67.34,59.712,56.758,61.346,53.778,54.996,54.078,61.376,56.932,62.295,73.876,70.713,74.752,66.243
122.4,47.865,56.054,58.181,54.302,58.412,54.031,51.655,49.289,57.163,55.671,60.435,53.113,53.708,65.744,64.246,58.34,67.048,64.588
133.21,51.599,63.045,54.541,51.637,62.475,61.248,59.232,61.985,58.497,53.016,50.711,57.518,73.037,67.946,75.202,73.66,62.429,68.594
144.01,57.047,53.177,63.472,61.902,55.757,51.817,55.821,53.7,59.858,56.799,64.8,69.469,63.169,69.174,67.11,65.169,69.3,56.398
154.81,53.899,55.936,51.254,53.851,56.902,49.605,57.295,55.594,58.371,54.269,69.028,69.061,68.646,68.276,61.806,71.342,60.188,64.602
165.61,52.929,52.585,51.821,52.528,55.849,51.339,56.702,49.055,49.548,67.89,63.746,67.13,66.813,65.815,61.457,61.251,58.536,48.417
176.41,55.851,53.24,59.853,56.56,53.855,56.785,48.402,58.566,60.279,62.585,70.464,62.569,68.598,67.593,58.603,54.692,54.58,53.261
187.21,60.448,56.919,46.918,55.61,58.136,53.49,59.43,67.618,60.246,60.681,61.166,61.477,66.218,62.036,62.421,52.747,58.551,55.175
198,53.255,53.694,57.438,59.654,47.33,52.831,58.449,55.249,61.976,69.199,64.976,65.843,59.715,55.656,52.076,50.954,56.63,50.53
208.81,55.896,54.423,55.071,48.4,59.779,61.014,64.004,65.241,67.059,63.599,61.22,61.261,48.888,57.899,72.305,55.897,52.967,56.985
219.6,49.519,64.519,60.91,54.441,65.023,62.846,61.259,60.603,59.645,64.455,56.995,58.179,54.849,48.913,56.058,55.548,54.901,56.344
230.41,48.256,51.76,53.371,65.91,61.682,61.368,73.601,60.988,65.648,54.704,66.1,54.553,69.378,51.56,55.582,50.942,53.515,55.317
241.21,48.511,53.997,60.704,53.762,57.348,66.294,65.068,59.1,52.958,55.912,57.801,55.867,65.883,56.063,48.19,56.674,66.883,59.011
252,52.912,62.976,60.97,62.823,65.841,61.686,64.618,66.89,55.711,58.922,55.213,52.885,51.403,51.348,56.094,52.535,62.965,50.184
262.8,55.467,69.775,63.965,60.822,68.799,59.959,51.34,49.25,51.562,53.357,55.266,55.201,49.62,54.939,51.445,60.528,58.889,57.189
273.61,61.864,63.655,65.467,58.299,58.591,63.346,55.429,52.764,53.965,50.625,48.697,53.507,50.448,50.402,54.657,53.731,54.433,62.773
284.41,68.552,64.132,56.282,67.386,59.381,51.782,46.253,58.561,56.011,58.839,51.515,56.68,59.387,59.601,54.292,60.565,65.471,62.38
295.2,59.476,58.029,57.918,61.111,66.761,54.238,53.049,58.91,57.222,49.97,57.66,51.266,59.482,57.575,55.184,52.627,63.642,57.103
